func_addr,func_name,string_addr,string
1c14:0d27,FUN_1c14_0d27,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1c14:0d27,FUN_1c14_0d27,2000:2f51,"Sunday"
1c14:0d95,FUN_1c14_0d95,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1c14:0d95,FUN_1c14_0d95,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1c14:0e50,FUN_1c14_0e50,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1c14:0e50,FUN_1c14_0e50,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1c14:0e94,FUN_1c14_0e94,1000:0001,"MONSTERS.DAT"
1c14:0e94,FUN_1c14_0e94,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1c14:0e94,FUN_1c14_0e94,1000:de56,"_ZY[X"
1c14:0e94,FUN_1c14_0e94,1000:fef6,"F ;T"
1c14:0e94,FUN_1c14_0e94,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1c14:0e94,FUN_1c14_0e94,2000:2f51,"Sunday"
1c14:1120,FUN_1c14_1120,1000:0001,"MONSTERS.DAT"
1c14:1120,FUN_1c14_1120,2000:2f51,"Sunday"
1c14:1134,FUN_1c14_1134,1000:00bb,"Sound Blaster CMF Files:B  Jill of the Jungle, Sound Blaster (bundled with), and..."
1c14:1134,FUN_1c14_1134,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1c14:1134,FUN_1c14_1134,1000:de56,"_ZY[X"
1c14:1134,FUN_1c14_1134,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1c14:11c5,FUN_1c14_11c5,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1c14:11c5,FUN_1c14_11c5,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1c14:11ea,FUN_1c14_11ea,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1c14:11ea,FUN_1c14_11ea,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1c14:125f,FUN_1c14_125f,1000:0001,"MONSTERS.DAT"
1c14:125f,FUN_1c14_125f,2000:2f51,"Sunday"
1c14:129e,FUN_1c14_129e,2000:2f6e," Wednesday"
1c14:12dc,FUN_1c14_12dc,1000:0001,"MONSTERS.DAT"
1c14:12dc,FUN_1c14_12dc,2000:2f51,"Sunday"
1c14:1326,FUN_1c14_1326,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1c14:1326,FUN_1c14_1326,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1c14:1381,FUN_1c14_1381,1000:0001,"MONSTERS.DAT"
1c14:1381,FUN_1c14_1381,2000:2f51,"Sunday"
1c14:152c,FUN_1c14_152c,2000:2f6e," Wednesday"
1c14:15dc,FUN_1c14_15dc,2000:2f6e," Wednesday"
1c14:16e1,FUN_1c14_16e1,2000:0e84,"PLAY-CMF.COM"
1c14:1753,FUN_1c14_1753,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1c14:1753,FUN_1c14_1753,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1c14:1789,FUN_1c14_1789,1000:0001,"MONSTERS.DAT"
1c14:1789,FUN_1c14_1789,2000:2f51,"Sunday"
1c14:17f0,FUN_1c14_17f0,1000:0001,"MONSTERS.DAT"
1c14:17f0,FUN_1c14_17f0,2000:2f51,"Sunday"
1c14:180e,FUN_1c14_180e,1000:0001,"MONSTERS.DAT"
1c14:180e,FUN_1c14_180e,2000:2f51,"Sunday"
1c14:1846,FUN_1c14_1846,2000:2f5b,"Monday"
1c14:187b,FUN_1c14_187b,1000:0001,"MONSTERS.DAT"
1c14:187b,FUN_1c14_187b,2000:2f51,"Sunday"
1c14:18ad,FUN_1c14_18ad,1000:0001,"MONSTERS.DAT"
1c14:18ad,FUN_1c14_18ad,2000:2f51,"Sunday"
1c14:1e79,FUN_1c14_1e79,1000:0001,"MONSTERS.DAT"
1c14:1e79,FUN_1c14_1e79,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1c14:1e79,FUN_1c14_1e79,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1c14:1e79,FUN_1c14_1e79,2000:2f51,"Sunday"
1c14:1ecd,FUN_1c14_1ecd,1000:0001,"MONSTERS.DAT"
1c14:1ecd,FUN_1c14_1ecd,2000:2f51,"Sunday"
1c14:24d7,FUN_1c14_24d7,1000:0001,"MONSTERS.DAT"
1c14:24d7,FUN_1c14_24d7,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1c14:24d7,FUN_1c14_24d7,1000:ffda,"|>;T"
1c14:24d7,FUN_1c14_24d7,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1c14:24d7,FUN_1c14_24d7,2000:2f51,"Sunday"
1c14:26af,FUN_1c14_26af,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1c14:26af,FUN_1c14_26af,1000:ffda,"|>;T"
1c14:26af,FUN_1c14_26af,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1f14:0000,FUN_1f14_0000,1000:0001,"MONSTERS.DAT"
1f14:0000,FUN_1f14_0000,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1f14:0000,FUN_1f14_0000,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1f14:0000,FUN_1f14_0000,2000:2f51,"Sunday"
1f14:006c,FUN_1f14_006c,1000:0001,"MONSTERS.DAT"
1f14:006c,FUN_1f14_006c,2000:2f51,"Sunday"
1f14:006c,FUN_1f14_006c,2000:2fa0,"EGAVGA"
1f14:02c4,FUN_1f14_02c4,1000:0001,"MONSTERS.DAT"
1f14:02c4,FUN_1f14_02c4,2000:2f51,"Sunday"
1f51:0064,FUN_1f51_0064,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1f51:0064,FUN_1f51_0064,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1f51:0064,FUN_1f51_0064,2000:2f6e," Wednesday"
1f51:0064,FUN_1f51_0064,2000:2fa0,"EGAVGA"
1f51:00e8,FUN_1f51_00e8,1000:0001,"MONSTERS.DAT"
1f51:00e8,FUN_1f51_00e8,2000:2f51,"Sunday"
1f51:0109,FUN_1f51_0109,1000:0001,"MONSTERS.DAT"
1f51:0109,FUN_1f51_0109,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1f51:0109,FUN_1f51_0109,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1f51:0109,FUN_1f51_0109,2000:2f51,"Sunday"
1f6f:0000,FUN_1f6f_0000,1000:0001,"MONSTERS.DAT"
1f6f:0000,FUN_1f6f_0000,2000:2f51,"Sunday"
1f6f:02b7,FUN_1f6f_02b7,1000:0001,"MONSTERS.DAT"
1f6f:02b7,FUN_1f6f_02b7,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1f6f:02b7,FUN_1f6f_02b7,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1f6f:02b7,FUN_1f6f_02b7,2000:2f51,"Sunday"
1fab:002a,FUN_1fab_002a,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
1fab:002a,FUN_1fab_002a,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
1fab:002a,FUN_1fab_002a,2000:2f5b,"Monday"
20e5:0000,FUN_20e5_0000,1000:0001,"MONSTERS.DAT"
20e5:0000,FUN_20e5_0000,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
20e5:0000,FUN_20e5_0000,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
20e5:0000,FUN_20e5_0000,2000:2f51,"Sunday"
20e5:004f,FUN_20e5_004f,1000:0001,"MONSTERS.DAT"
20e5:004f,FUN_20e5_004f,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
20e5:004f,FUN_20e5_004f,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
20e5:004f,FUN_20e5_004f,2000:17a3,"GF4.CFG SETUP.EXE"
20e5:004f,FUN_20e5_004f,2000:2f51,"Sunday"
20e5:004f,FUN_20e5_004f,2000:2f83,"Friday"
20e5:015a,FUN_20e5_015a,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
20e5:015a,FUN_20e5_015a,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
20e5:01e1,FUN_20e5_01e1,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
20e5:01e1,FUN_20e5_01e1,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
2110:00b9,FUN_2110_00b9,1000:0001,"MONSTERS.DAT"
2110:00b9,FUN_2110_00b9,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
2110:00b9,FUN_2110_00b9,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
2110:00b9,FUN_2110_00b9,2000:2f51,"Sunday"
2110:011b,FUN_2110_011b,1000:0001,"MONSTERS.DAT"
2110:011b,FUN_2110_011b,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
2110:011b,FUN_2110_011b,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
2110:011b,FUN_2110_011b,2000:2f51,"Sunday"
2110:0190,FUN_2110_0190,1000:0001,"MONSTERS.DAT"
2110:0190,FUN_2110_0190,1000:c140,"3BGI Error: Graphics not initialized (use InitGraph) BGI Error:  Not in graphics..."
2110:0190,FUN_2110_0190,2000:1760," SPEED.DAT)SPEED.DAT not found, running SETSPEED.EXE"
2110:0190,FUN_2110_0190,2000:17a3,"GF4.CFG SETUP.EXE"
2110:0190,FUN_2110_0190,2000:2f51,"Sunday"
2110:0190,FUN_2110_0190,2110:04c5," SQR"
